Num_sentences,sentence_number,sentence,answer,PureGrammarProfile,C【基本语义及用法】,【例句】,【结构特点】,prompt1,prompt2
5076,5,除非你亲自去解释，否则他不会相信。,F,条件复句：除非……，才……,"表示一定要完成某件事，才能达到某种目的，后面的分句往往是希望发生的事。
","
1.除非你答应我，我才和你一起去。
2.除非你努力学习，才有可能考上大学。
3.除非大家的工作都完成了，他才会答应我们的要求。
","
前后两个分句的主语可以是不同的，也可以是相同的。
1. 除非 + S1 + VP1, S2 + 才 + VP2
   例：除非你答应我，我才和你一起去。
2. 除非 + S + VP1, (S) + 才 + VP2
   例：除非你努力学习，才有可能考上大学。
","请判断：在句子“除非你亲自去解释，否则他不会相信。”中，是否包含语法点[条件复句：除非……，才……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[条件复句：除非……，才……]表示表示一定要完成某件事，才能达到某种目的，后面的分句往往是希望发生的事。
例句如下
1.除非你答应我，我才和你一起去。
2.除非你努力学习，才有可能考上大学。
3.除非大家的工作都完成了，他才会答应我们的要求。
请判断：在句子“除非你亲自去解释，否则他不会相信。”中，是否包含语法点[条件复句：除非……，才……?
如果包含，请仅回答T
如果不包含，请仅回答F"
4053,10,我再把这个问题认真想一想。,T,“把”字句2：表处置：主语+把+宾语+动词(+一/了)+动词,"“把”字句是介词“把”及其宾语作状语的句子，表示对宾语进行某种处置，使宾语发生某种变化。
","
1.同学们再把试卷检查检查。
2.你把地扫扫，我把桌子擦一擦。
3.她把冬天的衣服晒了晒，收在箱子里了。
","
1. S + 把 + O + V单/V双 + V单/V双
   - 我 把 桌子 擦 擦。
   - 同学们 再 把 试卷 检查 检查。

2. S + 把 + O + V单 + 一 + V单
   - 我 把 桌子 擦 一 擦。

3. S + 把 + O + V单 + 了 + V单
   - 我 把 桌子 擦 了 擦。

","请判断：在句子“我再把这个问题认真想一想。”中，是否包含语法点[“把”字句2：表处置：主语+把+宾语+动词(+一/了)+动词?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[“把”字句2：表处置：主语+把+宾语+动词(+一/了)+动词]表示“把”字句是介词“把”及其宾语作状语的句子，表示对宾语进行某种处置，使宾语发生某种变化。
例句如下
1.同学们再把试卷检查检查。
2.你把地扫扫，我把桌子擦一擦。
3.她把冬天的衣服晒了晒，收在箱子里了。
请判断：在句子“我再把这个问题认真想一想。”中，是否包含语法点[“把”字句2：表处置：主语+把+宾语+动词(+一/了)+动词?
如果包含，请仅回答T
如果不包含，请仅回答F"
2075,5,起床后，他习惯先喝一杯温水。,F,趋向补语1(简单趋向补语的趋向意义用法)：动词+来/去;动词+上/下/进/出/起/过/回/开,"趋向动词表示动作使人或物移动的方向。由“来、去、上、下、进、出、起、过、回、开”等单音节趋向动词充当的补语,我们称之为简单趋向补语。
","
1.你给他带去吧。
2.你爬上十九楼了没有？
3.车开进学校了，我们快过去吧。
","
简单趋向补语一般用在动词后边。

1. 肯定形式：
   S+V+趋向补语(+O)
   车开进学校了。

2. 否定形式：
   S+没+V+趋向补语(+O)
   我没爬上十九楼。

3. 正反疑问形式：
   a. S+V+没+V+趋向补语(+O)?
      你爬没爬上十九楼?
   b. S+V+趋向补语(+O)+了+没有?
      你爬上十九楼了没有?

","请判断：在句子“起床后，他习惯先喝一杯温水。”中，是否包含语法点[趋向补语1(简单趋向补语的趋向意义用法)：动词+来/去;动词+上/下/进/出/起/过/回/开?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[趋向补语1(简单趋向补语的趋向意义用法)：动词+来/去;动词+上/下/进/出/起/过/回/开]表示趋向动词表示动作使人或物移动的方向。由“来、去、上、下、进、出、起、过、回、开”等单音节趋向动词充当的补语,我们称之为简单趋向补语。
例句如下
1.你给他带去吧。
2.你爬上十九楼了没有？
3.车开进学校了，我们快过去吧。
请判断：在句子“起床后，他习惯先喝一杯温水。”中，是否包含语法点[趋向补语1(简单趋向补语的趋向意义用法)：动词+来/去;动词+上/下/进/出/起/过/回/开?
如果包含，请仅回答T
如果不包含，请仅回答F"
5084,7,因为天气太热，我们决定去游泳。,F,多重复句：二重复句1：单句+复句；复句+单句,"由“单句 + 复句”或“复句 + 单句”构成的格式是二重复句，有两层结构，表示并列、转折、顺承、假设等关系，单句、复句之间的语义联系紧密。
","
1.我决定去中国留学，即使中文再难我也要去学。
2.因为生病所以我没去上课，没想到的是老师一下课就来看我了。
3.她一直不愿意说出真相，虽然我不知道她的真实想法，但我尊重她的选择。
","
1. 单句 + 复句 (分句 1，分句 2)
   我不想去参加那些聚会了，就算他请我去我也不去。
2. 复句 (分句 1，分句 2) + 单句
   我不仅考上了研究生，还拿到了奖学金，这让我感到很自豪。

","请判断：在句子“因为天气太热，我们决定去游泳。”中，是否包含语法点[多重复句：二重复句1：单句+复句；复句+单句?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[多重复句：二重复句1：单句+复句；复句+单句]表示由“单句 + 复句”或“复句 + 单句”构成的格式是二重复句，有两层结构，表示并列、转折、顺承、假设等关系，单句、复句之间的语义联系紧密。
例句如下
1.我决定去中国留学，即使中文再难我也要去学。
2.因为生病所以我没去上课，没想到的是老师一下课就来看我了。
3.她一直不愿意说出真相，虽然我不知道她的真实想法，但我尊重她的选择。
请判断：在句子“因为天气太热，我们决定去游泳。”中，是否包含语法点[多重复句：二重复句1：单句+复句；复句+单句?
如果包含，请仅回答T
如果不包含，请仅回答F"
1030,9,我马上发邮件。,T,时间副词：马上,"表示动作或情况在短时间内发生。
","
1.医生马上来。
2.对不起，我马上走。
3.马上好，别急。
","
“马上”用在主语后、动词前，作状语，常与“就”一起使用。

S+马上(+就)+VP
我马上就回家。
他马上去车站。

","请判断：在句子“我马上发邮件。”中，是否包含语法点[时间副词：马上?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：马上]表示表示动作或情况在短时间内发生。
例句如下
1.医生马上来。
2.对不起，我马上走。
3.马上好，别急。
请判断：在句子“我马上发邮件。”中，是否包含语法点[时间副词：马上?
如果包含，请仅回答T
如果不包含，请仅回答F"
1045,10,别跟我说话。,F,连词(连接词或短语)：跟2、和2,"连接词或短语,表示平等并列的关系。
","
1.爸爸跟妈妈都不在家。
2.他跟我都是北京人。
3.我和弟弟都学习中文。
","
“跟2、和2”连接的词语多为名词或代词,整体作主语或宾语。“跟”、“和”连接的词语可以互换位置,不影响意义。
1. N/Pron+跟2/和2+N/Pron+VP
   他跟我都是北京人。
   老师和同学都不认识他。
2. S+V+N/Pron+跟2/和2+N/Pron
   他知道考试的时间跟地点。
   书包里有书和手机。

","请判断：在句子“别跟我说话。”中，是否包含语法点[连词(连接词或短语)：跟2、和2?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[连词(连接词或短语)：跟2、和2]表示连接词或短语,表示平等并列的关系。
例句如下
1.爸爸跟妈妈都不在家。
2.他跟我都是北京人。
3.我和弟弟都学习中文。
请判断：在句子“别跟我说话。”中，是否包含语法点[连词(连接词或短语)：跟2、和2?
如果包含，请仅回答T
如果不包含，请仅回答F"
5044,9,我真没想到你说改就改了。,T,固定短语：说A就A,"表示动作发生得快，状态或变化出现得快，相当于“说到 A 就很快 A”。用于口语。
","
1.为什么人生需要有一次说走就走的旅行？
2.说干就干，只有干才能找到办法。
3.那么贵的衣服，她说买就买了。
","
A 一般是动词或形容词。“说 A 就 A” 一般作谓语，也能作定语。

1. S + 说 + V/Adj + 就 + V/Adj (作谓语)
   - 你们怎么说离婚就离婚呢？
   - 北方的天气说冷就冷了。

2. 说 + V/Adj + 就 + V/Adj + 的 + N (作定语)
   - 为什么人生需要有一次说走就走的旅行？
   - 她这说高兴就高兴、说生气就生气的性格，像孩子一样。","请判断：在句子“我真没想到你说改就改了。”中，是否包含语法点[固定短语：说A就A?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[固定短语：说A就A]表示表示动作发生得快，状态或变化出现得快，相当于“说到 A 就很快 A”。用于口语。
例句如下
1.为什么人生需要有一次说走就走的旅行？
2.说干就干，只有干才能找到办法。
3.那么贵的衣服，她说买就买了。
请判断：在句子“我真没想到你说改就改了。”中，是否包含语法点[固定短语：说A就A?
如果包含，请仅回答T
如果不包含，请仅回答F"
6081,2,看把你哭得，像再也见不了面似的。,T,口语格式：看/瞧把+宾语(施事)+X得,"表示对某人出现某种状态的评价。
","
1.小孩子就是这样，看把他乐得。
2.瞧把他高兴得，都不知道说什么好了。
3.看把你笑得，都流眼泪了。
","
X 一般是形容词或动词，“看/瞧把 + 宾语(施事)+ X 得” 可以单独成句，也可以在后边补充小句说明具体状态。宾语一般是 X 的施事或主体。
1. 看/瞧把 + N/Pron + Adj/V 得，……
   瞧把他高兴得，都不知道说什么好了。
   看把你笑得，都流眼泪了。
2. ……，看/瞧把 + N/Pron + Adj/V 得
   真是小孩子呀，看把他乐得。
   你声音能小一点儿吗？瞧把孩子吓得。","请判断：在句子“看把你哭得，像再也见不了面似的。”中，是否包含语法点[口语格式：看/瞧把+宾语(施事)+X得?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：看/瞧把+宾语(施事)+X得]表示表示对某人出现某种状态的评价。
例句如下
1.小孩子就是这样，看把他乐得。
2.瞧把他高兴得，都不知道说什么好了。
3.看把你笑得，都流眼泪了。
请判断：在句子“看把你哭得，像再也见不了面似的。”中，是否包含语法点[口语格式：看/瞧把+宾语(施事)+X得?
如果包含，请仅回答T
如果不包含，请仅回答F"
2052,2,我们公司一直在努力对标国际一流企业。,F,介词(引出对象)：对,"引出动作的对象,表示对待。
","
1.她对顾客非常热情。
2.这件事你对他说了吗？
3.我对你非常有信心。
","
“对”与表示动作对象的名词性成分组合，修饰动词性或形容词性成分。“对…………”
一般在主语后，也可用在主语前(有停顿)。

|结构|例句|
|---|---|
|1. S+对+N/Pron/NP+VP/AP|我对你非常有信心。<br>我对她不满意。|
|2. 对+N/Pron/NP, S+VP/AP|对这节课的知识，你还有什么问题？|","请判断：在句子“我们公司一直在努力对标国际一流企业。”中，是否包含语法点[介词(引出对象)：对?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出对象)：对]表示引出动作的对象,表示对待。
例句如下
1.她对顾客非常热情。
2.这件事你对他说了吗？
3.我对你非常有信心。
请判断：在句子“我们公司一直在努力对标国际一流企业。”中，是否包含语法点[介词(引出对象)：对?
如果包含，请仅回答T
如果不包含，请仅回答F"
3018,5,他本来想学钢琴，但是家里没有地方放钢琴，只能放弃了。,T,时间副词：本来,"原先，先前。
","
1.会议本来在星期一举行，但是现在改时间了。
2.我本来打算当老师，但是现在改主意了。
3.本来我们计划去爬山，但是突然下雨了，只能取消了。
","
“本来”主要作状语，可用在主语后边，也可以用在主语前边。

1. S+本来+P
   例句：会议本来在星期一举行，但是现在改时间了。
   例句：他本来身体很差，现在很结实。

2. 本来+S+P
   例句：本来他想买电脑，但是钱不够。","请判断：在句子“他本来想学钢琴，但是家里没有地方放钢琴，只能放弃了。”中，是否包含语法点[时间副词：本来?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：本来]表示原先，先前。
例句如下
1.会议本来在星期一举行，但是现在改时间了。
2.我本来打算当老师，但是现在改主意了。
3.本来我们计划去爬山，但是突然下雨了，只能取消了。
请判断：在句子“他本来想学钢琴，但是家里没有地方放钢琴，只能放弃了。”中，是否包含语法点[时间副词：本来?
如果包含，请仅回答T
如果不包含，请仅回答F"
